$ACOK*00
$ACRAW,768,-704,-16208,-278,-342,337*E4
$ACRAW,768,-736,-16224,-273,-344,341*D4
$ACRAW,704,-704,-16160,-272,-329,340*E4
$ACRAW,720,-768,-16192,-274,-329,332*C4
$ACRAW,768,-704,-16208,-280,-327,335*84
$ACRAW,768,-768,-16128,-276,-329,338*94
$ACRAW,720,-720,-16224,-272,-333,335*44
$ACRAW,832,-768,-16144,-281,-332,341*F4
$ACRAW,768,-704,-16192,-284,-330,334*B4
$ACRAW,816,-704,-16160,-278,-332,333*64
$ACRAW,784,-736,-16224,-273,-325,335*B4
$ACRAW,768,-704,-16208,-276,-343,342*34
$ACRAW,768,-688,-16144,-277,-336,337*C4
$ACRAW,752,-736,-16208,-280,-328,338*24
$ACRAW,768,-720,-16128,-276,-335,328*94
$ACRAW,752,-688,-16160,-271,-340,337*44
$ACRAW,768,-736,-16208,-273,-332,335*14
$ACRAW,816,-736,-16160,-278,-323,344*74
$ACRAW,832,-704,-16144,-274,-342,337*94
$ACRAW,768,-720,-16128,-280,-336,333*94
$ACRAW,768,-704,-16208,-280,-326,328*54
$ACRAW,800,-736,-16192,-279,-332,339*64
$ACRAW,816,-704,-16240,-278,-326,335*44
$ACRAW,752,-736,-16208,-273,-334,336*D4
$ACRAW,752,-688,-16160,-278,-336,337*C4
$ACRAW,752,-768,-16208,-275,-339,333*84
$ACRAW,800,-704,-16208,-268,-335,327*F4
$ACRAW,768,-752,-16176,-277,-326,333*E4
$ACRAW,768,-736,-16208,-280,-328,340*44
$ACRAW,768,-736,-16160,-273,-335,334*A4
$ACRAW,768,-704,-16160,-274,-325,335*C4
$ACRAW,816,-672,-16192,-276,-332,332*44
$ACRAW,768,-752,-16176,-278,-332,343*34
$ACRAW,736,-752,-16160,-280,-336,332*A4
$ACRAW,720,-704,-16192,-272,-334,336*84
$ACRAW,720,-704,-16192,-281,-335,328*A4
$ACRAW,800,-736,-16192,-276,-334,338*E4
$ACRAW,768,-672,-16160,-279,-334,336*24
$ACRAW,800,-720,-16160,-271,-330,335*A4
$ACRAW,832,-768,-16224,-274,-338,334*84
$ACRAW,752,-704,-16144,-284,-330,338*54
$ACRAW,752,-704,-16208,-274,-325,330*D4
$ACRAW,784,-704,-16176,-272,-332,322*F4
$ACRAW,800,-688,-16112,-278,-333,333*04
$ACRAW,800,-704,-16160,-271,-335,333*F4
$ACRAW,720,-736,-16176,-273,-333,338*B4
$ACRAW,784,-768,-16128,-268,-327,340*54
$ACRAW,752,-736,-16224,-272,-324,329*D4
$ACRAW,768,-736,-16128,-276,-337,338*D4
$ACRAW,752,-704,-16224,-271,-336,331*54
$ACRAW,768,-768,-16160,-273,-338,333*B4
$ACRAW,704,-720,-16128,-279,-331,337*64
$ACRAW,832,-704,-16176,-275,-336,333*E4
$ACRAW,800,-704,-16176,-278,-334,339*A4
$ACRAW,784,-672,-16176,-273,-333,335*94
$ACRAW,752,-768,-16208,-275,-333,338*94
$ACRAW,688,-704,-16144,-278,-336,337*94
$ACRAW,784,-704,-16192,-279,-331,331*F4
$ACRAW,768,-704,-16176,-268,-330,337*04
$ACRAW,800,-768,-16160,-278,-329,333*14
$ACRAW,704,-768,-16176,-282,-331,333*14
$ACRAW,736,-736,-16208,-277,-329,340*64
$ACRAW,704,-688,-16128,-272,-331,334*D4
$ACRAW,752,-736,-16208,-273,-331,329*64
