$ACRAW,928,-192,-16224,1,79,393*A7
$ACRAW,912,-304,-16240,11,79,389*64
$ACRAW,944,-304,-16272,12,68,386*84
$ACRAW,944,-256,-16224,2,76,378*27
$ACRAW,912,-288,-16256,2,76,386*67
$ACRAW,944,-256,-16240,-2,88,381*A5
$ACRAW,912,-288,-16176,5,81,380*E7
$ACRAW,960,-256,-16208,5,79,386*37
$ACRAW,960,-224,-16272,8,77,378*97
$ACRAW,912,-192,-16256,11,73,386*94
$ACRAW,928,-192,-16240,2,79,387*E7
$ACRAW,928,-192,-16256,3,75,390*27
$ACRAW,928,-192,-16240,6,86,381*C7
$ACRAW,944,-272,-16208,16,71,376*64
$ACRAW,960,-224,-16272,3,77,387*27
$ACRAW,912,-192,-16256,6,80,384*17
$ACRAW,960,-192,-16192,-2,82,378*75
$ACRAW,944,-320,-16192,5,81,388*C7
$ACRAW,896,-192,-16224,-2,84,385*55
$ACRAW,976,-192,-16240,-2,78,379*85
$ACRAW,944,-192,-16192,1,82,389*17
$ACRAW,960,-192,-16224,-3,83,380*E5
$ACRAW,928,-192,-16272,7,84,385*A7
$ACRAW,992,-192,-16240,10,79,376*24
$ACRAW,992,-192,-16240,3,92,381*D7
$ACRAW,960,-256,-16224,5,80,378*A7
$ACRAW,960,-240,-16240,2,80,383*C7
$ACRAW,944,-192,-16288,3,81,381*07
$ACRAW,928,-192,-16224,11,76,381*74
$ACRAW,912,-192,-16224,-1,76,383*05
$ACRAW,944,-336,-16272,6,78,382*97
$ACRAW,912,-192,-16256,0,80,375*97
$ACRAW,960,-192,-16208,9,90,389*C7
$ACRAW,912,-288,-16224,5,80,382*97
$ACRAW,896,-192,-16272,7,84,375*17
$ACRAW,976,-192,-16240,0,78,382*37
$ACRAW,960,-256,-16208,9,78,381*97
$ACRAW,960,-272,-16256,-4,78,380*55
$ACRAW,960,-272,-16256,1,85,383*C7
$ACRAW,928,-288,-16240,2,80,383*47
$ACRAW,992,-256,-16208,3,78,389*67
$ACRAW,944,-256,-16272,-4,75,379*85
$ACRAW,928,-192,-16256,0,75,390*17
$ACRAW,960,-336,-16192,3,78,371*B7
$ACRAW,1024,-192,-16224,7,80,381*D4
$ACRAW,896,-192,-16208,8,80,388*57
$ACRAW,960,-192,-16176,9,80,380*E7
$ACRAW,960,-192,-16192,3,79,383*B7
$ACRAW,976,-256,-16224,2,77,384*17
$ACRAW,896,-336,-16208,7,74,377*D7
$ACRAW,944,-320,-16304,8,77,380*D7
$ACRAW,912,-224,-16256,4,81,374*37
$ACRAW,976,-192,-16224,10,76,379*A4
$ACRAW,960,-192,-16208,14,72,383*64
$ACRAW,944,-256,-16224,5,77,386*57
$ACRAW,976,-320,-16224,3,87,383*87
$ACRAW,944,-192,-16272,1,86,382*37
$ACRAW,944,-272,-16272,-1,79,384*55
$ACRAW,928,-192,-16240,3,77,388*E7
$ACRAW,976,-192,-16272,2,76,380*C7
$ACRAW,976,-272,-16240,1,82,388*07
$ACRAW,944,-288,-16176,-3,83,380*45
$ACRAW,944,-288,-16224,3,76,376*E7
$ACRAW,928,-192,-16224,2,80,382*F7
$ACRAW,912,-240,-16224,9,80,387*47
$ACRAW,944,-256,-16208,9,79,377*77
$ACRAW,960,-224,-16208,7,84,378*77
$ACRAW,960,-192,-16208,4,80,384*D7
$ACRAW,912,-256,-16240,-4,83,383*65
$ACRAW,976,-192,-16304,-6,82,388*65
