MDATA -177 -353 334
ADATA 496 -768 -16240
MDATA -172 -353 335
ADATA 560 -768 -16224
MDATA -169 -364 343
ADATA 512 -800 -16240
MDATA -165 -361 338
ADATA 512 -816 -16160
MDATA -179 -364 334
ADATA 512 -800 -16224
MDATA -169 -368 330
ADATA 496 -784 -16176
MDATA -175 -367 328
ADATA 480 -784 -16224
MDATA -178 -366 327
ADATA 528 -800 -16144
MDATA -177 -364 340
ADATA 512 -848 -16080
MDATA -185 -361 325
ADATA 512 -832 -16192
MDATA -172 -365 338
ADATA 512 -784 -16160
MDATA -177 -368 336
ADATA 496 -800 -16208
MDATA -178 -359 334
ADATA 576 -800 -16176
MDATA -180 -367 334
ADATA 496 -784 -16128
MDATA -180 -371 334
ADATA 480 -800 -16144
MDATA -174 -363 336
ADATA 528 -800 -16144
MDATA -178 -365 337
ADATA 480 -832 -16208
MDATA -173 -363 335
ADATA 528 -816 -16160
MDATA -171 -359 332
ADATA 528 -816 -16160
MDATA -182 -364 341
ADATA 496 -800 -16176
MDATA -178 -357 336
ADATA 512 -800 -16208
MDATA -171 -356 336
ADATA 480 -848 -16224
MDATA -182 -365 339
ADATA 576 -864 -16144
MDATA -181 -364 333
ADATA 480 -784 -16208
MDATA -179 -370 326
ADATA 464 -752 -16176
MDATA -179 -367 344
ADATA 544 -768 -16176
MDATA -172 -355 330
ADATA 576 -800 -16192
MDATA -169 -370 333
ADATA 464 -752 -16128
MDATA -172 -363 324
ADATA 528 -768 -16192
MDATA -174 -366 336
ADATA 464 -784 -16176
MDATA -172 -358 330
ADATA 464 -784 -16128
MDATA -171 -361 332
ADATA 528 -784 -16208
MDATA -171 -363 331
ADATA 528 -768 -16096
MDATA -177 -362 341
ADATA 544 -864 -16160
MDATA -174 -363 331
ADATA 544 -736 -16256
MDATA -178 -362 331
ADATA 512 -784 -16208
MDATA -171 -366 339
ADATA 464 -784 -16208
MDATA -167 -357 324
ADATA 512 -816 -16176
MDATA -178 -366 332
ADATA 528 -768 -16192
MDATA -176 -359 335
ADATA 432 -768 -16144
MDATA -180 -359 329
ADATA 576 -816 -16272
MDATA -179 -367 338
ADATA 544 -784 -16176
MDATA -176 -366 327
ADATA 528 -816 -16256
MDATA -168 -369 334
ADATA 544 -848 -16208
MDATA -171 -363 328
ADATA 608 -784 -16272
MDATA -178 -361 330
ADATA 544 -800 -16224
MDATA -175 -364 327
ADATA 480 -800 -16176
MDATA -175 -355 331
ADATA 608 -832 -16192
MDATA -174 -369 336
ADATA 512 -848 -16224
MDATA -175 -358 337
ADATA 528 -816 -16192
MDATA -178 -361 332
ADATA 576 -784 -16176
MDATA -176 -369 332
ADATA 544 -800 -16208
MDATA -170 -356 344
ADATA 464 -736 -16208
MDATA -176 -370 336
ADATA 544 -752 -16208
MDATA -175 -372 336
ADATA 496 -832 -16208
MDATA -174 -373 333
ADATA 496 -736 -16176
MDATA -176 -362 333
ADATA 576 -880 -16192
MDATA -176 -364 326
ADATA 512 -736 -16208
MDATA -170 -365 332
ADATA 512 -768 -16240
MDATA -170 -366 335
ADATA 496 -784 -16224
MDATA -176 -360 333
ADATA 592 -832 -16240
MDATA -177 -369 331
ADATA 528 -896 -16160
MDATA -185 -351 335
ADATA 480 -672 -16192
MDATA -168 -363 333
ADATA 464 -752 -16192
MDATA -168 -356 335
ADATA 512 -848 -16160
MDATA -177 -366 321
ADATA 512 -880 -16208
MDATA -177 -365 335
ADATA 496 -848 -16176
MDATA -176 -357 334
ADATA 576 -800 -16176
MDATA -175 -360 333
ADATA 512 -768 -16208
MDATA -175 -358 343
ADATA 512 -784 -16096
MDATA -173 -361 336
ADATA 512 -768 -16272
MDATA -179 -364 339
ADATA 544 -848 -16128
MDATA -171 -372 333
ADATA 512 -800 -16160
MDATA -173 -369 323
ADATA 512 -768 -16144
MDATA -171 -360 333
ADATA 528 -816 -16160
MDATA -175 -359 334
ADATA 560 -832 -16176
MDATA -172 -359 334
ADATA 544 -832 -16208
MDATA -175 -363 332
ADATA 512 -800 -16192
MDATA -176 -362 330
ADATA 528 -816 -16096
MDATA -175 -364 333
ADATA 528 -800 -16192
MDATA -188 -364 332
ADATA 512 -768 -16208
MDATA -177 -368 332
ADATA 544 -848 -16176
MDATA -175 -364 327
ADATA 528 -800 -16128
MDATA -177 -363 334
ADATA 576 -816 -16208
MDATA -179 -355 331
ADATA 528 -816 -16240
MDATA -180 -364 339
ADATA 544 -816 -16208
MDATA -173 -359 338
ADATA 512 -768 -16128
MDATA -175 -360 335
ADATA 496 -800 -16208
MDATA -173 -363 330
ADATA 512 -768 -16208
MDATA -180 -366 336
ADATA 512 -816 -16144
MDATA -172 -368 338
ADATA 544 -848 -16144
MDATA -168 -363 323
ADATA 480 -832 -16128
MDATA -178 -359 324
ADATA 480 -816 -16192
MDATA -176 -366 336
ADATA 512 -816 -16176
MDATA -173 -364 342
ADATA 576 -768 -16208
MDATA -170 -361 333
ADATA 544 -880 -16128
MDATA -175 -363 326
ADATA 528 -752 -16192
MDATA -171 -364 331
ADATA 496 -800 -16176
MDATA -175 -352 329
ADATA 528 -800 -16224
MDATA -172 -369 332
ADATA 544 -816 -16176
MDATA -177 -374 332
ADATA 496 -768 -16192
MDATA -174 -360 332
ADATA 528 -864 -16192
MDATA -172 -370 330
ADATA 528 -768 -16208
MDATA -185 -365 329
ADATA 544 -864 -16224
MDATA -172 -366 333
ADATA 544 -784 -16160
MDATA -181 -361 334
